Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
d) 3,24.4,7.5,4.5,3.7,3.6,6.9,0.0,0.0,0.0
e) 4,21.9,7.5,2.3,8.6,2.1,0.0,22.2,40.0,
f) 5,18.7,5.8,4.4,1.4,3.4,6.9,0.0,,
g) 6 to 10,16.7,4.6,2.9,1.5,2.0,2.0,0.0,0.0,0.0
h) 11 to 15,12.4,3.5,1.5,1.3,2.2,3.7,0.0,0.0,0.0
i) 16 to 20,13.1,3.6,0.4,1.4,2.4,0.0,0.0,0.0,0.0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,11.7,2.9,2.5,1.3,1.2,0.0,0.0,0.0,0.0
m) ALL,17.3,4.9,2.9,2.0,2.0,1.6,1.1,2.2,0.0
,           1995,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,31.3,6.2,4.8,2.8,0.0,8.0,0.0,0.0,0.0
c) 2,25.3,6.5,5.0,2.8,0.0,0.0,0.0,0.0,
d) 3,21.3,6.3,2.7,1.8,0.0,0.0,,0.0,
e) 4,21.2,4.8,6.0,1.4,0.0,5.4,0.0,0.0,0.0
f) 5,21.8,6.4,1.3,4.5,2.4,0.0,0.0,0.0,
g) 6 to 10,18.5,4.7,3.0,2.3,0.6,1.8,0.0,0.0,0.0
h) 11 to 15,12.6,3.6,1.8,2.2,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,11.6,2.3,1.2,3.8,3.7,0.0,0.0,40.0,0.0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,10.8,2.6,1.3,1.5,1.0,0.6,0.0,0.0,0.0
