Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
b. 5 to 9,"4,373","4,861","32,211","31,786",499,10.3,453,9.3,"7,523","3,250","4,273",10.2,23.7,"6,673","2,953","3,720",9.3,21.0,850,2.7,42.0,309,309,"2,018"
c. 10 to 19,"2,436","2,730","36,067","36,392",196,7.2,212,7.7,"6,496","2,567","3,929",7.1,17.9,"7,146","2,835","4,311",7.8,19.6,-650,-1.7,35.8,135,135,"1,807"
d. 20 to 49,"1,320","1,503","43,770","44,398",87,5.8,94,6.2,"6,145","2,478","3,667",5.6,13.8,"7,401","2,657","4,744",6.0,16.7,"-1,256",-2.9,27.6,42,42,"1,173"
e. 50 to 99,317,399,"26,284","26,752",18,4.5,23,5.7,"2,901","1,139","1,762",4.3,10.8,"3,837","1,580","2,257",5.9,14.3,-936,-3.5,21.6,8,8,582
f. 100 to 249,149,173,"24,459","24,737",7,4.0,9,5.2,"2,166",790,"1,376",3.2,8.8,"2,722","1,226","1,496",5.0,11.0,-556,-2.2,17.6,3,3,324
g. 250 to 499,29,31,"10,626","10,628",0,0.0,0,0.0,460,0,460,0.0,4.3,463,0,463,0.0,4.4,-3,-0.1,8.6,,,
h. 500 to 999,10,11,"7,857","8,718",0,0.0,2,16.7,40,0,40,0.0,0.5,"1,764",D,633,D,20.2,"-1,724",-19.7,1.0,,,
i. 1000+,4,4,"7,003","7,622",0,0.0,0,0.0,10,0,10,0.0,0.1,"1,247",0,"1,247",0.0,16.4,"-1,237",-16.3,0.2,,,
m. ALL,"19,847","21,618","218,048","218,712","2,939",13.6,"2,742",12.7,"35,691","14,166","21,525",6.5,16.3,"37,018","16,015","21,003",7.3,16.9,"-1,327",-0.6,32.6,"1,821","1,822","8,437"
,,1986,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"11,181","11,878","29,290","27,448","2,109",17.7,"2,025",17.0,"9,790","3,911","5,879",14.2,35.7,"6,105","3,727","2,378",13.6,22.2,"3,685",13.5,44.4,"1,375","1,375",D
