Country: USA,,,,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
e) 4,50,37,49,0,0,D,D,D,0,0,,0
f) 5,55,40,D,30,D,D,0,D,0,0,D,
g) 6 to 10,248,102,D,137,D,D,163,0,D,0,D,0
h) 11 to 15,101,89,80,107,140,D,48,D,D,D,0,D
i) 16 to 20,38,18,D,17,D,112,38,12,330,0,0,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,86,76,126,206,79,217,D,145,571,D,686,"3,652"
m) ALL,"5,230","2,517","2,356","3,151","1,178","1,974",810,"1,509","1,145","2,763",747,"3,899"
,           1997,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,463","1,937",D,"1,322",D,D,,,,,,
b) 1,16,23,39,48,D,D,0,,,,,
c) 2,89,53,34,D,0,0,0,D,0,0,,
d) 3,85,D,80,0,D,D,D,0,0,0,0,
e) 4,84,D,28,D,D,0,D,0,,,,D
f) 5,45,D,D,D,D,0,0,D,D,,,0
g) 6 to 10,236,78,80,98,280,34,24,0,D,D,D,D
h) 11 to 15,132,92,94,44,49,103,D,0,16,28,0,D
i) 16 to 20,94,44,135,47,338,185,100,29,D,D,D,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,95,41,77,250,219,320,294,118,411,851,386,"3,152"
m) ALL,"5,339","2,311","2,160","1,836","1,460","1,313",454,186,615,"1,128",400,"3,599"
,           1998,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"2,006","1,756","2,299",888,D,D,,D,,,
b) 1,D,D,D,0,0,0,D,0,,,,
c) 2,56,0,0,0,0,0,0,,,,0,
d) 3,81,D,0,0,0,0,D,0,D,,,
e) 4,47,0,D,0,0,D,0,0,0,0,D,
f) 5,67,34,0,0,0,0,D,0,,D,D,0
g) 6 to 10,222,125,102,D,D,D,147,D,D,,D,D
h) 11 to 15,107,D,D,106,D,95,D,D,D,24,D,D
i) 16 to 20,61,D,0,0,D,29,77,D,82,D,0,D
j) 21 to 25,5,D,0,D,D,19,D,0,D,D,D,D
k) 26+,,,,,,,,,,,,
l) Left Censored,62,D,78,D,107,140,139,291,823,729,366,"2,440"
m) ALL,"4,865","2,256","2,024","2,559","1,118","1,241","1,979",969,"1,257",909,504,"2,880"
,           1999,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"3,788","1,755","1,423","2,717",466,"1,012",,,,,,
b) 1,0,0,23,159,113,0,D,0,D,0,,
c) 2,104,0,0,D,0,0,D,D,,,,
d) 3,69,0,D,D,0,0,0,,,,,
e) 4,41,0,0,D,0,0,0,,D,,0,
f) 5,32,D,D,D,0,0,0,0,D,0,D,D
g) 6 to 10,182,72,60,D,0,D,84,D,D,0,D,0
h) 11 to 15,114,0,0,D,D,D,D,138,D,D,D,D
i) 16 to 20,131,D,D,D,D,17,D,D,D,0,0,D
j) 21 to 25,19,0,D,D,D,D,D,0,D,D,0,D
k) 26+,,,,,,,,,,,,
l) Left Censored,54,0,97,D,72,158,200,289,"2,485",150,328,D
m) ALL,"4,534","1,854","1,709","3,339",824,"1,446",883,491,"3,274",192,"1,512","4,568"
,           2000,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,217","2,106","1,609","1,602",978,D,D,,,D,,
b) 1,D,D,28,85,D,310,D,,,,D,0
c) 2,D,47,96,50,173,D,0,,0,0,,
d) 3,72,D,D,0,0,0,D,D,,,,
e) 4,55,0,D,D,0,0,0,,,,,
f) 5,D,0,D,0,0,0,0,,0,,,0
g) 6 to 10,170,103,56,D,D,390,126,D,D,D,D,D
h) 11 to 15,107,79,121,D,0,210,D,18,D,143,0,D
i) 16 to 20,66,65,D,109,D,145,D,D,D,0,D,"1,174"
j) 21 to 25,26,19,D,D,0,D,D,D,22,0,0,727
k) 26+,,,,,,,,,,,,
l) Left Censored,79,0,85,151,29,111,373,508,444,D,165,D
m) ALL,"4,963","2,439","2,201","2,192","1,355","1,460","1,283",701,601,"1,808",392,"4,196"
,           2001,Firm Size,,,,,,,,,,
