Country: USA,,,,,,,,,
Variable: Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
l) Left Censored,"1,111",686,574,513,224,134,35,10,11
m) ALL,"13,363","6,368","4,183","2,618",934,456,116,47,24
,           2004,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,233",290,126,60,23,8,,,
b) 1,"1,314",420,236,142,44,15,3,3,
c) 2,"1,053",513,280,128,61,19,6,,1
d) 3,724,378,211,125,46,15,3,1,1
e) 4,639,340,201,121,41,14,7,4,
f) 5,569,266,194,119,42,22,2,3,1
g) 6 to 10,"2,107","1,251",738,459,156,70,23,8,4
h) 11 to 15,"1,513",969,659,385,118,70,11,11,
i) 16 to 20,"1,080",703,515,331,100,50,16,7,5
j) 21 to 25,915,545,375,230,102,46,6,4,1
k) 26+,321,187,137,95,32,18,6,1,1
l) Left Censored,"1,052",662,567,492,223,116,39,9,12
m) ALL,"13,520","6,524","4,239","2,687",988,463,122,51,26
,           2005,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,241",269,141,71,17,13,3,2,
b) 1,"1,360",417,264,127,42,21,3,1,
c) 2,"1,045",417,261,128,44,17,3,4,
d) 3,916,462,272,126,61,21,4,,1
e) 4,656,353,198,125,50,15,3,1,1
f) 5,563,333,182,123,40,16,6,4,
g) 6 to 10,"2,132","1,229",769,498,165,83,17,9,4
h) 11 to 15,"1,480",941,638,371,120,64,10,12,2
i) 16 to 20,"1,120",736,533,355,106,50,18,6,4
j) 21 to 25,869,541,351,221,108,45,10,7,1
k) 26+,478,277,196,139,53,22,6,2,2
l) Left Censored,"1,000",641,553,474,217,104,40,9,11
m) ALL,"13,860","6,616","4,358","2,758","1,023",471,123,57,26
,           2006,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,397",334,143,82,27,10,2,,
b) 1,"1,282",453,223,146,51,20,5,4,2
c) 2,"1,037",446,243,137,47,19,4,1,1
d) 3,875,395,262,136,38,18,4,4,
e) 4,809,439,276,128,56,26,5,,1
f) 5,575,327,207,108,48,19,2,1,1
g) 6 to 10,"2,094","1,283",826,480,182,77,21,10,3
h) 11 to 15,"1,465",943,638,394,128,67,10,10,2
i) 16 to 20,"1,127",736,505,366,112,53,16,8,3
j) 21 to 25,849,569,373,259,108,50,10,6,2
k) 26+,626,358,258,165,62,30,7,2,2
l) Left Censored,944,624,526,452,220,106,35,12,9
m) ALL,"14,080","6,907","4,480","2,853","1,079",495,121,58,26
,           2007,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,345",306,146,84,22,5,3,,
b) 1,"1,343",518,280,160,49,24,4,2,
c) 2,"1,033",410,240,135,49,25,2,4,2
d) 3,900,421,235,134,52,19,2,,1
e) 4,777,355,259,116,41,19,5,4,
f) 5,731,417,252,115,56,24,6,1,
g) 6 to 10,"2,120","1,232",857,477,188,78,16,8,3
h) 11 to 15,"1,361",879,602,386,133,61,16,7,2
i) 16 to 20,"1,150",792,534,363,119,63,11,6,5
j) 21 to 25,807,558,371,238,110,49,12,3,3
k) 26+,754,459,304,230,81,40,10,4,2
l) Left Censored,913,591,500,438,211,113,34,11,9
m) ALL,"14,234","6,938","4,580","2,876","1,111",520,121,50,27
,           2008,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,976",240,109,63,16,5,3,,
b) 1,"1,312",522,237,165,27,16,2,5,
c) 2,"1,105",472,255,152,48,25,5,2,
d) 3,882,341,224,139,43,23,7,4,2
e) 4,770,393,224,126,48,24,2,,1
f) 5,667,323,243,128,31,15,7,3,1
g) 6 to 10,"2,318","1,313",842,511,196,90,16,8,4
