Country: USA,,,,,,,,,
Variable: Job_Destruction_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
c) 2,600,354,482,385,D,D,D,D,
d) 3,468,262,357,270,0,0,D,D,
e) 4,431,219,463,267,0,0,0,D,D
f) 5,280,193,225,D,0,D,D,D,
g) 6 to 10,"1,095",751,772,"1,261",542,D,D,0,0
h) 11 to 15,638,369,223,584,D,D,0,0,0
i) 16 to 20,406,286,265,185,0,0,0,D,D
j) 21 to 25,126,79,D,D,0,0,0,D,D
k) 26+,,,,,,,,,
l) Left Censored,421,269,270,681,D,D,0,0,0
m) ALL,"5,227","3,032","3,412","4,154","1,041","2,664","1,150",0,0
,           2001,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,
b) 1,934,230,210,158,D,D,0,0,
c) 2,587,373,423,317,352,0,0,D,D
d) 3,529,293,296,342,445,0,D,D,
e) 4,447,238,280,556,0,0,D,D,
f) 5,376,162,188,D,0,D,0,D,D
g) 6 to 10,"1,132",894,495,650,D,D,0,D,D
h) 11 to 15,640,481,536,378,D,D,0,0,0
i) 16 to 20,349,155,403,309,D,D,0,D,D
j) 21 to 25,214,167,0,D,D,0,0,D,D
k) 26+,,,,,,,,,
l) Left Censored,355,174,154,D,D,0,0,0,0
m) ALL,"5,563","3,167","2,985","3,277","2,080","2,167",0,"1,634",0
,           2002,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,,D,
b) 1,"1,008",309,329,458,0,0,0,D,D
c) 2,728,307,161,426,0,0,0,0,
d) 3,438,218,162,248,0,D,D,D,D
e) 4,400,219,130,409,D,D,D,D,
f) 5,400,248,255,D,0,D,D,D,
g) 6 to 10,"1,178",642,997,D,0,D,0,0,D
h) 11 to 15,869,643,665,641,453,880,0,D,D
i) 16 to 20,463,386,396,D,0,D,0,0,0
j) 21 to 25,334,224,189,304,D,D,0,D,D
k) 26+,,,,,,,,,
l) Left Censored,456,378,267,"1,030",378,687,0,0,0
m) ALL,"6,274","3,574","3,551","4,544","1,251","3,617",543,0,0
,           2003,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,D,344,371,680,D,D,0,,D
c) 2,560,281,384,D,0,D,0,D,D
d) 3,376,149,113,D,D,0,D,0,
e) 4,279,D,97,272,0,D,D,0,D
f) 5,261,D,132,0,0,0,D,,D
g) 6 to 10,918,454,591,620,490,D,D,D,D
h) 11 to 15,457,182,306,D,D,0,0,0,
