Country: USA,,,,,,,,,,,,
Variable: firmdeath_emp,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
h) 11 to 15,300,151,D,252,D,.,.,.,.,.,.,.
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,560,253,180,295,332,D,D,.,.,.,.,.
m) ALL,"3,224","1,647","1,453","1,450",901,"1,050","1,387",.,.,.,.,.
,           1991,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,.,,,,
b) 1,643,216,D,D,.,.,.,.,,,,.
c) 2,340,177,D,214,D,.,.,.,.,,,
d) 3,354,232,D,D,.,.,.,.,.,.,,
e) 4,291,153,148,D,.,D,.,.,,.,,
f) 5,182,262,152,D,.,D,.,,.,,,.
g) 6 to 10,728,405,348,D,D,.,.,.,.,.,.,.
h) 11 to 15,367,234,166,337,D,.,D,.,.,.,.,.
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,385,198,124,218,D,.,D,.,.,.,.,.
m) ALL,"3,290","1,877","1,700","1,478",745,455,"1,424",.,.,.,.,.
,           1992,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,.,,,,
b) 1,861,322,139,D,.,D,.,.,.,,,
c) 2,575,279,210,D,D,D,.,.,,,.,
d) 3,543,146,272,D,D,.,.,.,.,,,
e) 4,361,83,D,D,.,.,.,.,.,.,,.
f) 5,251,D,.,.,D,.,.,.,.,,,
g) 6 to 10,755,346,D,136,D,.,.,.,.,.,,.
h) 11 to 15,361,D,153,237,D,.,.,.,.,.,.,.
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,465,233,336,D,D,.,.,.,.,.,.,.
m) ALL,"4,172","1,829","1,622","1,083","1,098",484,.,.,.,.,.,.
,           1993,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
b) 1,877,308,286,215,.,.,.,,.,,,.
c) 2,665,226,111,154,.,.,.,.,.,,,
d) 3,504,175,208,D,D,.,.,.,,,.,
e) 4,314,174,D,174,.,D,.,,.,.,,
f) 5,329,178,D,D,.,D,.,.,.,.,,
g) 6 to 10,720,302,280,181,D,D,.,.,.,.,.,.
h) 11 to 15,383,139,140,D,.,.,D,.,.,.,.,.
i) 16 to 20,59,44,.,.,.,.,.,.,.,,.,.
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,390,322,96,358,D,D,.,.,.,.,.,.
m) ALL,"4,241","1,868","1,243","1,299",611,987,33,.,.,.,.,.
,           1994,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,.,.,,,
b) 1,808,328,209,230,D,D,.,.,,,,
c) 2,437,301,226,D,D,.,.,.,.,.,,.
d) 3,413,340,135,D,.,D,.,.,.,,,
e) 4,331,168,71,315,D,.,D,.,,.,.,
f) 5,235,134,143,D,D,.,.,,.,,,
g) 6 to 10,716,478,363,182,D,D,.,.,.,.,,.
h) 11 to 15,375,133,197,D,D,.,.,.,.,.,.,.
i) 16 to 20,157,59,.,.,.,.,.,.,.,.,.,.
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,405,195,278,176,D,.,.,D,.,.,.,.
m) ALL,"3,877","2,136","1,622","1,413","1,504",946,659,18,.,.,.,.
,           1995,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,,,,,,,
b) 1,770,D,D,D,.,.,.,.,.,.,,.
c) 2,501,275,181,.,.,.,.,.,.,,,
d) 3,347,183,72,.,.,.,.,.,.,.,,.
e) 4,345,184,D,D,.,.,.,.,.,.,,.
f) 5,280,D,D,.,.,.,.,.,,,,
g) 6 to 10,834,563,291,217,.,.,.,.,.,.,.,.
h) 11 to 15,353,265,158,244,.,.,.,.,.,.,.,.
i) 16 to 20,139,114,D,D,.,.,.,.,.,.,.,.
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,340,176,186,D,D,D,.,.,.,.,.,.
m) ALL,"3,909","2,158","1,372",793,122,91,.,.,.,.,.,.
,           1996,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,,,,
b) 1,695,250,318,227,.,.,,.,,,,
c) 2,514,203,D,D,.,.,.,.,.,.,.,
