State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
Nebraska,1987,68.8,65.8
Nevada,1987,72.6,68.2
New Hampshire,1987,72.5,70.9
New Jersey,1987,66,63.3
New Mexico,1987,62.8,57.2
New York,1987,61.6,58.6
North Carolina,1987,68.1,65
North Dakota,1987,68,64.5
Ohio,1987,64.4,59.8
Oklahoma,1987,64.4,59.6
Oregon,1987,66.7,62.5
Pennsylvania,1987,60.8,57.4
Rhode Island,1987,67.5,65
South Carolina,1987,65.6,62.1
South Dakota,1987,68.7,65.7
Tennessee,1987,63.2,58.9
Texas,1987,69,63.2
Utah,1987,69.7,65.3
Vermont,1987,71.2,68.6
Virginia,1987,68.3,65.4
Washington,1987,66.5,61.7
West Virginia,1987,51.3,45.8
Wisconsin,1987,69,64.8
Wyoming,1987,69.2,63.5
Alabama,1988,61.2,57
Alaska,1988,72.5,66.2
Arizona,1988,64.8,60.7
Arkansas,1988,62.1,57.3
California,1988,67.4,63.8
Colorado,1988,69.9,65.4
Connecticut,1988,69.3,67.3
Delaware,1988,69.2,67.2
Florida,1988,62.6,59.3
Georgia,1988,68.3,64.6
Hawaii,1988,66.9,64.9
Idaho,1988,66.7,62.7
Illinois,1988,66.6,62.1
Indiana,1988,66.8,63.4
Iowa,1988,69.2,66
Kansas,1988,69,65.8
Kentucky,1988,61.8,57.1
Louisiana,1988,60.8,54.4
Maine,1988,64.8,62.5
Maryland,1988,70.1,67.2
Massachusetts,1988,68.4,66.2
Michigan,1988,65.4,60.5
Minnesota,1988,71.8,68.8
Mississippi,1988,60.9,55.6
Missouri,1988,66.1,62.4
Montana,1988,67.3,62.9
Nebraska,1988,69,66.6
Nevada,1988,72.6,68.7
New Hampshire,1988,72.6,70.9
New Jersey,1988,65.9,63.4
New Mexico,1988,62.9,58.2
New York,1988,62,59.3
North Carolina,1988,68.5,66
North Dakota,1988,68.1,64.9
Ohio,1988,64.6,60.7
Oklahoma,1988,64.1,59.9
Oregon,1988,67.3,63.4
Pennsylvania,1988,61.4,58.3
Rhode Island,1988,67.5,65.4
South Carolina,1988,65.5,62.4
South Dakota,1988,68.8,66
Tennessee,1988,62.7,59.1
Texas,1988,69.1,64
Utah,1988,69.8,66.3
Vermont,1988,70.5,68.4
Virginia,1988,68.4,65.7
Washington,1988,66.9,62.7
West Virginia,1988,51.8,46.8
Wisconsin,1988,69.3,66.4
Wyoming,1988,68.6,64.1
Alabama,1989,61.7,57.6
Alaska,1989,73.3,68.2
Arizona,1989,65.5,62
Arkansas,1989,62.8,58.4
California,1989,67.7,64.2
Colorado,1989,69.9,66
Connecticut,1989,70.4,67.9
Delaware,1989,70.3,68.1
Florida,1989,63,59.4
Georgia,1989,69,65.3
Hawaii,1989,66.8,65.2
Idaho,1989,67.2,63.6
Illinois,1989,68,63.9
Indiana,1989,67.7,64.5
Iowa,1989,69.6,66.5
Kansas,1989,69.2,66.2
Kentucky,1989,62.1,58.1
Louisiana,1989,59.9,55.3
Maine,1989,65.6,63
Maryland,1989,70.8,68.1
Massachusetts,1989,69.1,66.2
Michigan,1989,66.2,61.5
Minnesota,1989,72.6,69.4
Mississippi,1989,61.4,56.5
Missouri,1989,66.8,63.2
Montana,1989,67.8,63.7
Nebraska,1989,68.9,66.9
Nevada,1989,72.5,69
New Hampshire,1989,72.7,70.2
New Jersey,1989,66.3,63.6
New Mexico,1989,63.2,58.9
New York,1989,63.1,60
North Carolina,1989,69.1,66.6
North Dakota,1989,68.3,65.4
Ohio,1989,65.2,61.6
Oklahoma,1989,63.7,60.1
Oregon,1989,67.6,64
Pennsylvania,1989,62,59.1
Rhode Island,1989,67.8,65.1
South Carolina,1989,65.9,62.8
South Dakota,1989,69.1,66.4
Tennessee,1989,63,59.7
Texas,1989,69.2,64.5
Utah,1989,71.1,67.8
Vermont,1989,70.9,68.3
Virginia,1989,69,66.3
Washington,1989,68.4,64.4
West Virginia,1989,52.4,47.8
Wisconsin,1989,70.5,67.5
Wyoming,1989,68.9,64.5
Alabama,1990,61.9,58
Alaska,1990,72.6,67.5
Arizona,1990,64.4,61
Arkansas,1990,63.2,59
California,1990,67.1,63.3
Colorado,1990,71.1,67.4
Connecticut,1990,70.5,67
Delaware,1990,70.7,67.8
Florida,1990,63,59.1
Georgia,1990,67.7,64.2
Hawaii,1990,68.1,66.4
Idaho,1990,67.8,64.1
Illinois,1990,68.2,64
Indiana,1990,67.7,64.3
Iowa,1990,69.9,66.7
Kansas,1990,69.7,66.6
Kentucky,1990,62.4,58.6
Louisiana,1990,61.1,57.5
Maine,1990,67.2,63.6
Maryland,1990,70,66.8
Massachusetts,1990,68.5,64.1
Michigan,1990,65.9,60.8
Minnesota,1990,73.1,69.6
Mississippi,1990,62.1,57.3
Missouri,1990,67.5,63.6
Montana,1990,68.5,64.4
Nebraska,1990,70.3,68.6
Nevada,1990,69.8,66.3
New Hampshire,1990,73.1,69
New Jersey,1990,67.4,63.9
New Mexico,1990,63.7,59.3
New York,1990,62.6,59.2
North Carolina,1990,68.6,65.8
North Dakota,1990,68.8,66
Ohio,1990,65.5,61.7
Oklahoma,1990,64.8,61.1
Oregon,1990,68.7,64.9
Pennsylvania,1990,63.3,59.9
Rhode Island,1990,67.8,63.6
South Carolina,1990,65.9,62.7
South Dakota,1990,70,67.4
Tennessee,1990,63.8,60.3
Texas,1990,68.2,63.8
Utah,1990,70.8,67.6
Vermont,1990,72,68.5
Virginia,1990,69.2,66.1
Washington,1990,69,65.5
West Virginia,1990,54.1,49.4
Wisconsin,1990,70.7,67.6
Wyoming,1990,71.6,67.8
Alabama,1991,61.5,57.3
Alaska,1991,73.1,67
Arizona,1991,63.8,60.1
Arkansas,1991,62.5,58
California,1991,66.3,61.2
Colorado,1991,70.9,67
Connecticut,1991,71.1,66.5
Delaware,1991,69.7,65.7
Florida,1991,62.5,57.7
Georgia,1991,66.3,62.9
Hawaii,1991,68.1,66.2
Idaho,1991,67.4,63.4
